Running a new code
30/06/2025 17:30:17 
LoadRatemedium
Date,hour,totalAvailableCap,Hourly Load,Hourly Negative Load Solar,Hourly Negative Load Wind,MRR
11/01/2023,20,[20755.08185917],19266.04994569536,[0.03383212],[955.00515964],3019.216361504462
23/02/2023,18,[22371.7992701],19992.98638649007,[70.57065736],[279.8397928],3019.216361504462
23/02/2023,19,[22146.49932305],20076.271486092715,[-0.05058208],[251.98886339],3019.216361504462
23/02/2023,20,[20979.08481961],19462.398181854303,[-0.13389219],[219.94306977],3019.216361504462
25/02/2023,18,[22047.3150227],20053.83417682119,[125.62539733],[170.4329593],3019.216361504462
25/02/2023,19,[21843.32694167],20315.81259178808,[-0.08238491],[288.76212921],3019.216361504462
25/02/2023,20,[22558.47824254],19809.758775761587,[0.34195496],[230.70458031],3019.216361504462
25/02/2023,21,[21611.57264707],19244.49677284768,[0.04658673],[233.89822947],3019.216361504462
03/07/2023,21,[21359.71336961],19139.407283443707,[168.93222443],[208.51521315],3019.216361504462
05/07/2023,20,[22449.93254935],23619.874861986755,[1456.21544459],[647.85834417],3019.216361504462
05/07/2023,21,[22059.34352347],22994.798827947023,[208.46119065],[758.4747582],3019.216361504462
05/07/2023,22,[22210.13774297],21888.055940529805,[0.08211108],[990.15989679],3019.216361504462
06/07/2023,20,[21947.22748443],24799.189630463577,[1459.60229096],[2136.32170613],3019.216361504462
06/07/2023,21,[20526.8722828],24123.23892715232,[209.6637423],[2789.9617364],3019.216361504462
06/07/2023,22,[22310.11470057],22913.47763655629,[0.11757402],[3465.72230145],3019.216361504462
07/07/2023,20,[22247.69869653],22930.717364900665,[1239.70010099],[1357.30210386],3019.216361504462
07/07/2023,21,[22489.51792892],22302.33890145695,[168.99670556],[507.9132352],3019.216361504462
07/07/2023,22,[21825.84303899],21379.57406039735,[0.03447104],[216.61596841],3019.216361504462
07/07/2023,23,[22278.12181266],19852.371822384102,[0.00102504],[229.83376992],3019.216361504462
08/07/2023,20,[21237.6595735],21236.279566357614,[1390.88240317],[1581.12940909],3019.216361504462
11/07/2023,20,[22348.77850547],22867.126610331125,[1594.14136355],[1641.71199319],3019.216361504462
12/07/2023,20,[21633.37401474],23664.46206291391,[1187.25249163],[1005.82652613],3019.216361504462
12/07/2023,21,[21982.3032416],23161.72917218543,[267.07449045],[846.56438905],3019.216361504462
12/07/2023,22,[23101.46381163],22057.81445682119,[0.09050114],[898.09192375],3019.216361504462
12/07/2023,23,[22203.72627441],20076.183965695367,[-0.04028163],[687.26229163],3019.216361504462
15/07/2023,21,[22772.12050222],21944.96516980133,[98.86688804],[1867.55568107],3019.216361504462
17/07/2023,20,[22751.07440842],23855.32096622517,[1441.36809924],[2000.31320939],3019.216361504462
17/07/2023,21,[22147.62323547],23355.96469231788,[130.26164624],[1615.05893987],3019.216361504462
17/07/2023,22,[21443.28906676],22284.33212794702,[-0.06720108],[1605.05490571],3019.216361504462
17/07/2023,23,[19362.77474188],20342.277504238416,[0.03558485],[1519.52790362],3019.216361504462
18/07/2023,22,[22305.3457923],20815.45266543046,[0.03934498],[1198.97078536],3019.216361504462
20/07/2023,20,[22245.11187962],21660.046696953643,[1293.02213856],[268.01566859],3019.216361504462
20/07/2023,21,[21977.1861149],21029.9216213245,[177.38681734],[282.35226266],3019.216361504462
20/07/2023,22,[21235.47641737],20051.245173112584,[0.08608299],[977.35654718],3019.216361504462
23/07/2023,20,[21248.56624615],20600.861032847683,[1180.0658221],[783.15341142],3019.216361504462
23/07/2023,21,[21769.00121725],20016.30593046358,[170.42262617],[947.43576601],3019.216361504462
04/09/2023,19,[22087.84343461],21412.551301986758,[1798.82694604],[227.86538564],3019.216361504462
04/09/2023,20,[21034.16771895],21119.28000860928,[227.87282241],[276.33976051],3019.216361504462
04/09/2023,21,[21136.34452166],20308.105126490067,[0.06978979],[574.40466955],3019.216361504462
05/09/2023,19,[23118.09244425],23953.872935496693,[1647.52696694],[1621.03897797],3019.216361504462
05/09/2023,20,[22202.08403274],23609.2713205298,[179.39937561],[2100.98182653],3019.216361504462
05/09/2023,21,[22603.00204636],22712.371135629142,[-0.11006292],[2643.17319598],3019.216361504462
05/09/2023,23,[21205.9441465],19891.309717880795,[0.05333469],[1603.96129916],3019.216361504462
05/09/2023,24,[19122.96156227],18477.21565430464,[0.05972111],[1345.74696352],3019.216361504462
06/09/2023,19,[21894.04975637],24428.16002675497,[1649.57177234],[911.37587147],3019.216361504462
06/09/2023,20,[22804.10398805],24134.010728476824,[187.61506648],[1229.99125818],3019.216361504462
06/09/2023,21,[22772.48581752],23410.11970728477,[0.10516406],[1366.10792495],3019.216361504462
06/09/2023,22,[21249.96157907],21744.62512145696,[0.03206681],[1887.87240788],3019.216361504462
07/09/2023,19,[22729.1570653],25457.42697205298,[1389.20513202],[2811.94015153],3019.216361504462
07/09/2023,20,[21863.9883474],25243.23980384106,[258.52688333],[4779.5859826],3019.216361504462
07/09/2023,21,[21491.82086986],24252.51318397351,[-0.10646743],[4260.3096652],3019.216361504462
07/09/2023,22,[21083.32481164],22552.97328966888,[0.12763345],[2970.51166911],3019.216361504462
11/09/2023,20,[21972.39142948],19459.79078940397,[81.15381198],[372.77405607],3019.216361504462
12/09/2023,20,[21861.19847053],20175.94248317881,[87.66632186],[660.46343838],3019.216361504462
12/09/2023,21,[21650.73546807],19322.5529202649,[0.15261806],[593.21278333],3019.216361504462
