ID,Name,Type,Fuel Type,Generating Fuel Type,State,Summer Qual,Winter Qual,FCA Qual,June,July,August,September,October,November,December,January,February,March,April,May
253,TURNKEY LANDFILL,Generator,LandFill Gas,Landfill Gas,NH,0.698,0.708,0.698,0.698,0.698,0.698,0.698,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708
321,MANCHESTER 10 10A CC,Generator,Gas,Natural Gas,RI,157.0,170.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0
322,MANCHESTER 11 11A CC,Generator,Gas,Natural Gas,RI,157.0,170.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0
323,MANCHESTER 9 9A CC,Generator,Gas,Natural Gas,RI,154.0,169.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0
324,CDECCA,Generator,Gas,Natural Gas,CT,51.454,61.334,51.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,ALTRESCO,Generator,Gas,Natural Gas,MA,145.457,182.982,145.457,135.457,135.457,135.457,135.457,135.457,135.457,135.457,135.457,135.457,135.457,135.457,135.457
327,AMOSKEAG,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,NH,4.783,11.82,4.783,1.181,1.181,1.181,1.181,2.919,2.919,2.919,2.919,2.919,2.919,2.919,2.919
328,GULF ISLAND COMPOSITE Incremental,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,ME,29.284,30.149,29.284,29.284,29.284,29.284,29.284,29.284,29.284,29.284,29.284,29.284,29.284,29.284,29.284
330,AYERS ISLAND,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,NH,8.29,8.943,8.29,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688,3.688
331,AZISCOHOS HYDRO,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,ME,6.645,6.645,6.645,6.645,6.645,6.645,6.645,6.645,6.645,6.645,6.645,6.645,6.645,6.645,6.645
335,BELLOWS FALLS,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,NH,47.216,47.216,47.216,47.216,47.216,47.216,47.216,47.216,47.216,47.216,47.216,47.216,47.216,47.216,47.216
336,BERLIN  1 GT,Generator,Oil,Kerosene,VT,40.26,50.409,40.26,40.26,40.26,40.26,40.26,40.26,40.26,40.26,40.26,40.26,40.26,40.26,40.26
341,BRIDGEPORT HARBOR 4,Generator,Oil,Jet Fuel,CT,17.024,21.816,17.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,BOLTON FALLS,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,VT,0.687,2.673,0.687,0.687,0.687,0.687,0.687,2.673,2.673,2.673,2.673,2.673,2.673,2.673,2.673
348,BOOT MILLS,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,MA,5.057,10.882,5.057,5.057,5.057,5.057,5.057,10.882,10.882,10.882,10.882,10.882,10.882,10.882,10.882
349,"WHEELABRATOR BRIDGEPORT, L.P.",Generator,Refuse/Woods,Municipal Solid Waste,CT,58.545,58.999,58.545,58.545,58.545,58.545,58.545,58.545,58.545,58.545,58.545,58.545,58.545,58.545,58.545
355,BRANFORD 10,Generator,Oil,Kerosene,CT,15.84,20.95,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84
356,BRISTOL REFUSE,Generator,Refuse/Woods,Municipal Solid Waste,CT,12.921,12.774,12.921,12.921,12.921,12.921,12.921,12.774,12.774,12.774,12.774,12.774,12.774,12.774,12.774
357,BRIDGEWATER,Generator,Refuse/Woods,Wood/Wood Waste Solids.,NH,14.17,14.595,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17
358,BRUNSWICK,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,ME,6.181,12.103,6.181,6.181,6.181,6.181,6.181,12.103,12.103,12.103,12.103,12.103,12.103,12.103,12.103
359,J. COCKWELL 1,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,MA,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5
360,J. COCKWELL 2,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,MA,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5
362,BULLS BRIDGE,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,CT,2.364,4.217,2.364,2.364,2.364,2.364,2.364,4.217,4.217,4.217,4.217,4.217,4.217,4.217,4.217
363,BURLINGTON GT,Generator,Oil,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",VT,18.383,23.354,18.383,18.383,18.383,18.383,18.383,18.383,18.383,18.87,18.87,18.87,18.87,18.383,18.383
365,CANAL 1,Generator,Oil,Residual Fuel Oil Bunker C,MA,565.24,562.305,562.305,562.305,562.305,562.305,562.305,562.305,562.305,562.305,562.305,562.305,562.305,562.305,562.305
366,CANAL 2,Generator,Oil,Residual Fuel Oil Bunker C,MA,558.75,558.75,558.75,558.75,558.75,558.75,558.75,558.75,558.75,558.75,558.75,558.75,558.75,558.75,558.75
367,CAPE GT 4,Generator,Oil,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",ME,13.75,20.011,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75,13.75
368,CAPE GT 5,Generator,Oil,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",ME,15.822,20.272,15.822,15.822,15.822,15.822,15.822,15.822,15.822,15.822,15.822,15.822,15.822,15.822,15.822
369,CATARACT EAST,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,ME,7.373,7.733,7.373,7.373,7.373,7.373,7.373,7.373,7.373,7.373,7.373,7.373,7.373,7.373,7.373
370,COS COB 10,Generator,Oil,Kerosene,CT,18.932,23.0,18.932,18.932,18.932,18.932,18.932,18.932,18.932,18.932,18.932,18.932,18.932,18.932,18.932
371,COS COB 11,Generator,Oil,Kerosene,CT,18.724,23.0,18.724,18.724,18.724,18.724,18.724,18.724,18.724,18.724,18.724,18.724,18.724,18.724,18.724
372,COS COB 12,Generator,Oil,Kerosene,CT,18.66,23.0,18.66,18.66,18.66,18.66,18.66,18.66,18.66,18.66,18.66,18.66,18.66,18.66,18.66
375,CLEARY 9 9A CC,Generator,Gas,Natural Gas,MA,104.931,109.931,104.931,104.931,104.931,104.931,104.931,104.931,104.931,104.931,104.931,104.931,104.931,104.931,104.931
376,CLEARY 8,Generator,Gas,Residual Fuel Oil Bunker C,MA,24.825,22.253,22.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,COBBLE MOUNTAIN,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,MA,26.966,27.431,26.966,26.966,26.966,26.966,26.966,26.966,26.966,26.966,26.966,26.966,26.966,26.966,26.966
380,COMERFORD,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,NH,166.135,167.116,166.135,166.135,166.135,166.135,166.135,166.135,166.135,166.135,166.135,166.135,166.135,166.135,166.135
382,MERRIMACK CT1,Generator,Oil,Kerosene,NH,16.826,21.676,16.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,MERRIMACK CT2,Generator,Oil,Kerosene,NH,16.804,21.304,16.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,DARTMOUTH POWER,Generator,Gas,Natural Gas,MA,61.32,67.656,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32,61.32
389,DERBY DAM,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,CT,1.356,5.55,1.356,1.356,1.356,1.356,1.356,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55
392,DEXTER,Generator,Gas,Natural Gas,CT,44.502,46.027,44.502,44.502,44.502,44.502,44.502,44.502,44.502,44.502,44.502,44.502,44.502,44.502,44.502
393,DEERFIELD 5,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,MA,13.965,13.99,13.965,13.965,13.965,13.965,13.965,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99
395,DOREEN,Generator,Oil,Kerosene,MA,16.6,20.385,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6
396,DEVON 10,Generator,Oil,Kerosene,CT,14.407,18.852,14.407,14.407,14.407,14.407,14.407,14.407,14.407,14.407,14.407,14.407,14.407,14.407,14.407
397,DEVON 11,Generator,Oil,Kerosene,CT,29.299,38.819,29.299,29.299,29.299,29.299,29.299,29.299,29.299,29.299,29.299,29.299,29.299,29.299,29.299
398,DEVON 12,Generator,Oil,Kerosene,CT,29.227,38.437,29.227,29.227,29.227,29.227,29.227,29.227,29.227,29.227,29.227,29.227,29.227,29.227,29.227
399,DEVON 13,Generator,Oil,Kerosene,CT,29.967,38.967,29.967,29.967,29.967,29.967,29.967,29.967,29.967,29.967,29.967,29.967,29.967,29.967,29.967
400,DEVON 14,Generator,Oil,Kerosene,CT,29.704,40.274,29.704,29.704,29.704,29.704,29.704,29.704,29.704,29.704,29.704,29.704,29.704,29.704,29.704
401,EASTMAN FALLS,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,NH,1.565,3.231,1.565,1.0,1.0,1.0,1.0,2.065,2.065,2.065,2.065,2.065,2.065,2.065,2.065
405,ELLSWORTH HYDRO,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,ME,9.044,9.05,9.044,9.044,9.044,9.044,9.044,9.044,9.044,9.044,9.044,9.044,9.044,9.044,9.044
410,ESSEX 19 HYDRO,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,VT,2.416,4.421,2.416,2.416,2.416,2.416,2.416,4.421,4.421,4.421,4.421,4.421,4.421,4.421,4.421
412,FALLS VILLAGE,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,CT,1.294,4.793,1.294,1.294,1.294,1.294,1.294,4.793,4.793,4.793,4.793,4.793,4.793,4.793,4.793
413,FIFE BROOK,Generator,Hydro,Water at a Conventional Hydroelectric Turbine,MA,3.129,5.444,3.129,3.129,3.129,3.129,3.129,5.444,5.444,5.444,5.444,5.444,5.444,5.444,5.444
417,FRAMINGHAM JET 1,Generator,Oil,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",MA,10.145,14.175,10.145,10.145,10.145,10.145,10.145,10.145,10.145,10.145,10.145,10.145,10.145,10.145,10.145
418,FRAMINGHAM JET 2,Generator,Oil,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",MA,10.129,15.686,10.129,10.129,10.129,10.129,10.129,10.129,10.129,10.129,10.129,10.129,10.129,10.129,10.129
419,FRAMINGHAM JET 3,Generator,Oil,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",MA,11.024,15.25,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024
