Date,Hour Ending,Total Load
01/01/2023,1,13125.84414950217
01/01/2023,2,12580.320481270839
01/01/2023,3,12862.480519730534
01/01/2023,4,12970.860284667735
01/01/2023,5,12925.477323836492
01/01/2023,6,13142.460551259423
01/01/2023,7,13657.493561543733
01/01/2023,8,13716.354717150034
01/01/2023,9,13732.761720828958
01/01/2023,10,13672.84958897922
01/01/2023,11,13551.119614939484
01/01/2023,12,13473.555967066683
01/01/2023,13,13695.98312788308
01/01/2023,14,13477.047559593513
01/01/2023,15,14078.817351861155
01/01/2023,16,15195.664260719344
01/01/2023,17,16713.334896953642
01/01/2023,18,17791.102736286826
01/01/2023,19,17593.61338658598
01/01/2023,20,17153.46508997374
01/01/2023,21,16574.94257117607
01/01/2023,22,15811.966460350537
01/01/2023,23,14863.46593742864
01/01/2023,24,14078.10616199589
01/02/2023,1,13612.765788100025
01/02/2023,2,13239.945426878285
01/02/2023,3,13502.384086928523
01/02/2023,4,13540.187889324048
01/02/2023,5,13516.055540210096
01/02/2023,6,13758.363657663851
01/02/2023,7,14673.59057149121
01/02/2023,8,15443.679106377029
01/02/2023,9,15931.345559705413
01/02/2023,10,16231.116356348484
01/02/2023,11,16329.748146152091
01/02/2023,12,16306.156698675497
01/02/2023,13,16502.22853494862
01/02/2023,14,16378.553627397809
01/02/2023,15,16521.92295406257
01/02/2023,16,17101.24600998059
01/02/2023,17,18530.09195618406
01/02/2023,18,19726.380597968713
01/02/2023,19,19482.77926140672
01/02/2023,20,18867.91047674469
01/02/2023,21,18111.79449826216
01/02/2023,22,17070.196413774833
01/02/2023,23,15846.16349118977
01/02/2023,24,15071.047208477963
01/03/2023,1,14747.608153968942
01/03/2023,2,14674.10136666248
01/03/2023,3,14783.666897702671
01/03/2023,4,14877.429051361043
01/03/2023,5,15106.332669365152
01/03/2023,6,15588.411089808178
01/03/2023,7,17164.932768942683
01/03/2023,8,18208.83611656086
01/03/2023,9,18601.936541338207
01/03/2023,10,18868.605557250514
01/03/2023,11,19120.658999205298
01/03/2023,12,19293.732588103452
01/03/2023,13,19361.65101256223
01/03/2023,14,19271.419194296646
01/03/2023,15,19105.696841516332
01/03/2023,16,19158.48519602192
01/03/2023,17,19926.140813217633
01/03/2023,18,20541.095743533915
01/03/2023,19,20159.391324567252
01/03/2023,20,19568.375341373605
01/03/2023,21,18864.68242889473
01/03/2023,22,17697.527799954325
01/03/2023,23,16294.433765425896
01/03/2023,24,15103.422692819138
01/04/2023,1,14999.145223235899
01/04/2023,2,14919.349482030144
01/04/2023,3,14923.907460000002
01/04/2023,4,14910.114070522952
01/04/2023,5,15238.695384745377
01/04/2023,6,15440.429523144558
01/04/2023,7,16390.534979794476
01/04/2023,8,17602.232902333864
01/04/2023,9,17905.21567760676
01/04/2023,10,17888.99821379425
01/04/2023,11,17726.594687873945
01/04/2023,12,17543.065835953417
01/04/2023,13,17522.957760095916
01/04/2023,14,17509.63707965974
01/04/2023,15,17675.230741740124
01/04/2023,16,18056.26992055835
01/04/2023,17,19051.50484984015
01/04/2023,18,19836.275356520895
01/04/2023,19,19610.33002398265
01/04/2023,20,18976.89224737269
01/04/2023,21,18310.161963370632
01/04/2023,22,18014.575406584838
01/04/2023,23,16421.771933190226
01/04/2023,24,15168.58923548413
01/05/2023,1,13854.689389942912
01/05/2023,2,13885.490982239098
01/05/2023,3,13684.364333436859
01/05/2023,4,13373.551693777119
01/05/2023,5,13742.947960303722
01/05/2023,6,14449.243377413793
01/05/2023,7,16223.92762977849
01/05/2023,8,17608.67037884106
01/05/2023,9,18123.609109387988
01/05/2023,10,18278.458810070795
01/05/2023,11,18426.44877606303
01/05/2023,12,18498.68910405915
01/05/2023,13,18439.525013477964
01/05/2023,14,18367.926972975565
01/05/2023,15,18443.492999013473
01/05/2023,16,18784.24824668646
01/05/2023,17,19679.433965460154
01/05/2023,18,20464.94199849509
01/05/2023,19,20203.14896912994
01/05/2023,20,19566.455041260564
01/05/2023,21,18830.54970263074
01/05/2023,22,18072.390300325416
01/05/2023,23,16489.45985943823
01/05/2023,24,15254.430146317653
01/06/2023,1,14863.58193382279
01/06/2023,2,14646.529969237272
