Date,Hour Ending,Total Load
01/01/2023,1,10352.99
01/01/2023,2,9922.39
01/01/2023,3,10144.61
01/01/2023,4,10229.76
01/01/2023,5,10193.64
01/01/2023,6,10364.43
01/01/2023,7,10770.25
01/01/2023,8,10816.32
01/01/2023,9,10828.91
01/01/2023,10,10781.32
01/01/2023,11,10684.99
01/01/2023,12,10623.49
01/01/2023,13,10798.52
01/01/2023,14,10625.56
01/01/2023,15,11099.65
01/01/2023,16,11979.78
01/01/2023,17,13175.84
01/01/2023,18,14025.04
01/01/2023,19,13868.91
01/01/2023,20,13521.51
01/01/2023,21,13065.06
01/01/2023,22,12463.25
01/01/2023,23,11715.25
01/01/2023,24,11095.88
01/02/2023,1,10728.77
01/02/2023,2,10434.6
01/02/2023,3,10641.09
01/02/2023,4,10670.54
01/02/2023,5,10651.18
01/02/2023,6,10841.78
01/02/2023,7,11562.62
01/02/2023,8,12169.05
01/02/2023,9,12552.91
01/02/2023,10,12788.7
01/02/2023,11,12866.0
01/02/2023,12,12847.0
01/02/2023,13,13001.06
01/02/2023,14,12903.21
01/02/2023,15,13015.74
01/02/2023,16,13471.69
01/02/2023,17,14596.81
01/02/2023,18,15538.67
01/02/2023,19,15346.29
01/02/2023,20,14861.49
01/02/2023,21,14265.47
01/02/2023,22,13444.64
01/02/2023,23,12480.18
01/02/2023,24,11869.33
01/03/2023,1,11614.23
01/03/2023,2,11555.97
01/03/2023,3,11641.88
01/03/2023,4,11715.34
01/03/2023,5,11895.21
01/03/2023,6,12274.42
01/03/2023,7,13515.35
01/03/2023,8,14336.84
01/03/2023,9,14645.88
01/03/2023,10,14855.36
01/03/2023,11,15053.32
01/03/2023,12,15189.09
01/03/2023,13,15242.07
01/03/2023,14,15170.55
01/03/2023,15,15039.61
01/03/2023,16,15080.68
01/03/2023,17,15684.44
01/03/2023,18,16167.97
01/03/2023,19,15867.02
01/03/2023,20,15401.35
01/03/2023,21,14847.03
01/03/2023,22,13928.0
01/03/2023,23,12823.35
01/03/2023,24,11885.67
