local_day,local_hour_end,tot_wind_mwh,_FREQ_
2023-01-01,01,233.56400000000005,54
2023-01-01,02,234.74200000000002,54
2023-01-01,03,289.8820000000001,56
2023-01-01,04,356.773,53
2023-01-01,05,409.6719999999999,57
2023-01-01,06,525.889,58
2023-01-01,07,648.4699999999999,57
2023-01-01,08,774.1870000000001,58
2023-01-01,09,866.9509999999997,58
2023-01-01,10,821.417,61
2023-01-01,11,844.7130000000002,62
2023-01-01,12,978.515,60
2023-01-01,13,946.4929999999999,60
2023-01-01,14,855.2109999999994,59
2023-01-01,15,748.2520000000001,59
2023-01-01,16,656.9019999999998,59
2023-01-01,17,611.0400000000001,57
2023-01-01,18,531.548,57
2023-01-01,19,580.9249999999998,57
2023-01-01,20,594.3059999999999,57
2023-01-01,21,511.4390000000001,57
2023-01-01,22,444.149,57
2023-01-01,23,454.49099999999993,56
2023-01-01,24,457.962,54
2023-01-02,01,438.98900000000003,54
2023-01-02,02,414.35899999999987,55
2023-01-02,03,461.6189999999999,58
2023-01-02,04,458.28900000000004,58
2023-01-02,05,431.74699999999984,58
2023-01-02,06,380.81899999999996,55
2023-01-02,07,334.55800000000005,57
2023-01-02,08,328.9030000000001,58
2023-01-02,09,307.2399999999999,58
2023-01-02,10,262.0970000000001,58
2023-01-02,11,240.19599999999997,56
2023-01-02,12,250.00300000000001,58
2023-01-02,13,257.2490000000001,57
2023-01-02,14,243.29900000000006,57
2023-01-02,15,223.89600000000002,52
2023-01-02,16,222.768,52
2023-01-02,17,230.833,56
2023-01-02,18,223.863,56
2023-01-02,19,213.36900000000003,55
2023-01-02,20,205.449,57
2023-01-02,21,204.34999999999988,55
2023-01-02,22,221.56599999999995,56
2023-01-02,23,187.97100000000003,54
2023-01-02,24,158.724,49
2023-01-03,01,184.46,47
2023-01-03,02,191.53,41
2023-01-03,03,175.57299999999995,40
2023-01-03,04,163.27300000000005,44
2023-01-03,05,158.79299999999998,48
2023-01-03,06,169.021,47
2023-01-03,07,176.7150000000001,49
2023-01-03,08,186.374,50
2023-01-03,09,184.178,50
2023-01-03,10,171.59999999999997,50
2023-01-03,11,134.19999999999996,45
2023-01-03,12,131.294,46
2023-01-03,13,136.705,50
2023-01-03,14,142.94199999999998,57
2023-01-03,15,185.87400000000002,56
2023-01-03,16,249.52899999999994,57
2023-01-03,17,254.50299999999996,51
2023-01-03,18,185.75099999999998,49
2023-01-03,19,149.455,50
2023-01-03,20,155.425,49
2023-01-03,21,122.13600000000004,48
2023-01-03,22,125.678,45
2023-01-03,23,113.28999999999999,42
2023-01-03,24,82.62700000000002,39
2023-01-04,01,74.52000000000001,37
2023-01-04,02,89.10000000000002,42
2023-01-04,03,121.78400000000003,46
2023-01-04,04,171.54999999999995,48
2023-01-04,05,176.61700000000002,50
2023-01-04,06,175.82099999999994,45
2023-01-04,07,174.60400000000004,42
2023-01-04,08,151.99599999999998,37
2023-01-04,09,145.1500000000001,39
2023-01-04,10,108.155,32
2023-01-04,11,99.543,44
2023-01-04,12,78.582,40
2023-01-04,13,77.496,31
2023-01-04,14,62.477000000000025,32
2023-01-04,15,55.92999999999999,34
2023-01-04,16,84.15200000000003,38
2023-01-04,17,79.78599999999997,41
2023-01-04,18,105.23100000000001,43
2023-01-04,19,157.462,51
2023-01-04,20,240.24699999999996,53
2023-01-04,21,358.7750000000001,55
2023-01-04,22,448.3670000000001,54
2023-01-04,23,552.357,53
2023-01-04,24,575.1459999999998,53
2023-01-05,01,583.9570000000003,54
2023-01-05,02,592.902,53
2023-01-05,03,465.4020000000001,53
2023-01-05,04,338.07399999999996,52
2023-01-05,05,325.80199999999996,52
2023-01-05,06,286.186,51
2023-01-05,07,280.3770000000001,50
2023-01-05,08,231.47000000000003,51
2023-01-05,09,239.37300000000008,52
2023-01-05,10,211.58200000000005,49
2023-01-05,11,186.921,50
2023-01-05,12,190.274,45
2023-01-05,13,147.301,44
2023-01-05,14,106.30599999999998,43
2023-01-05,15,79.017,43
2023-01-05,16,83.58500000000002,42
2023-01-05,17,92.28500000000001,41
2023-01-05,18,106.835,40
2023-01-05,19,97.20700000000001,39
2023-01-05,20,85.72500000000004,39
2023-01-05,21,81.88900000000002,38
2023-01-05,22,63.717999999999996,36
2023-01-05,23,45.467000000000006,35
2023-01-05,24,49.958000000000006,34
2023-01-06,01,52.707,37
2023-01-06,02,48.186000000000014,36
2023-01-06,03,38.54000000000001,36
2023-01-06,04,41.685,36
2023-01-06,05,43.67099999999999,34
2023-01-06,06,34.90500000000001,32
2023-01-06,07,22.099,32
2023-01-06,08,20.953,27
2023-01-06,09,14.095000000000002,28
2023-01-06,10,11.269,30
2023-01-06,11,17.625000000000004,31
2023-01-06,12,22.483,30
2023-01-06,13,10.177999999999997,27
2023-01-06,14,5.7860000000000005,25
2023-01-06,15,5.516,29
2023-01-06,16,6.535,28
2023-01-06,17,10.084000000000001,30
2023-01-06,18,13.613999999999999,31
2023-01-06,19,14.045999999999998,30
2023-01-06,20,14.579999999999993,32
2023-01-06,21,17.466,32
2023-01-06,22,19.216000000000005,33
2023-01-06,23,13.777000000000001,31
2023-01-06,24,15.009999999999994,34
2023-01-07,01,21.392999999999997,31
2023-01-07,02,37.05700000000001,33
2023-01-07,03,33.102000000000004,31
2023-01-07,04,36.997,30
2023-01-07,05,47.363,32
2023-01-07,06,47.096,33
2023-01-07,07,51.49499999999999,29
2023-01-07,08,63.493,32
2023-01-07,09,60.20200000000002,34
2023-01-07,10,69.735,36
2023-01-07,11,80.11400000000002,39
2023-01-07,12,89.24499999999998,47
2023-01-07,13,120.627,46
2023-01-07,14,162.61399999999998,49
2023-01-07,15,195.25,45
2023-01-07,16,245.856,46
2023-01-07,17,281.689,47
2023-01-07,18,295.17499999999995,48
2023-01-07,19,343.367,52
2023-01-07,20,404.0899999999999,53
2023-01-07,21,454.351,53
2023-01-07,22,503.03499999999997,53
2023-01-07,23,538.563,52
2023-01-07,24,558.6240000000001,50
2023-01-08,01,543.1529999999998,52
2023-01-08,02,516.835,53
2023-01-08,03,503.0920000000001,52
2023-01-08,04,503.7190000000001,54
2023-01-08,05,500.9299999999999,53
2023-01-08,06,490.3749999999999,52
2023-01-08,07,462.13800000000015,51
2023-01-08,08,446.9230000000001,52
2023-01-08,09,347.418,52
2023-01-08,10,243.49699999999996,51
2023-01-08,11,189.87899999999993,42
2023-01-08,12,142.028,30
2023-01-08,13,108.69100000000003,30
2023-01-08,14,77.57100000000001,36
2023-01-08,15,70.01899999999999,44
2023-01-08,16,78.21300000000001,45
2023-01-08,17,183.12400000000005,53
2023-01-08,18,395.465,53
2023-01-08,19,499.83,53
2023-01-08,20,575.3760000000002,54
2023-01-08,21,624.6049999999999,52
2023-01-08,22,595.0690000000001,53
2023-01-08,23,589.2560000000001,53
2023-01-08,24,574.9010000000001,53
2023-01-09,01,522.47,54
2023-01-09,02,496.876,53
2023-01-09,03,479.924,51
2023-01-09,04,451.9800000000001,51
2023-01-09,05,318.79100000000005,51
2023-01-09,06,266.259,48
2023-01-09,07,301.8449999999999,47
2023-01-09,08,246.96899999999994,52
2023-01-09,09,166.475,50
2023-01-09,10,118.838,47
2023-01-09,11,117.873,50
2023-01-09,12,121.79499999999997,49
2023-01-09,13,113.75400000000002,52
2023-01-09,14,126.35299999999995,48
2023-01-09,15,168.17999999999998,49
2023-01-09,16,186.34399999999994,50
2023-01-09,17,198.906,55
2023-01-09,18,245.92500000000013,54
2023-01-09,19,314.2400000000002,57
2023-01-09,20,369.687,56
2023-01-09,21,373.5790000000001,55
2023-01-09,22,328.40799999999996,54
2023-01-09,23,289.866,51
2023-01-09,24,267.17499999999995,50
2023-01-10,01,248.412,54
2023-01-10,02,308.6880000000001,56
2023-01-10,03,395.27200000000005,56
2023-01-10,04,450.6849999999999,56
2023-01-10,05,536.096,56
2023-01-10,06,624.4309999999999,56
2023-01-10,07,674.313,56
2023-01-10,08,710.688,56
2023-01-10,09,709.5960000000002,56
2023-01-10,10,681.0470000000001,56
2023-01-10,11,616.5710000000001,56
2023-01-10,12,517.8509999999999,57
2023-01-10,13,506.5680000000001,58
2023-01-10,14,496.48999999999984,56
2023-01-10,15,459.6530000000001,58
2023-01-10,16,403.4669999999999,57
2023-01-10,17,439.6569999999999,54
2023-01-10,18,484.006,53
2023-01-10,19,451.86400000000003,55
2023-01-10,20,367.452,55
2023-01-10,21,305.5150000000001,56
2023-01-10,22,326.62200000000007,55
2023-01-10,23,317.21299999999997,53
2023-01-10,24,247.246,53
2023-01-11,01,248.28299999999996,52
2023-01-11,02,235.27300000000002,49
2023-01-11,03,226.675,47
2023-01-11,04,242.42700000000005,47
2023-01-11,05,249.914,45
2023-01-11,06,258.761,44
2023-01-11,07,261.32,42
2023-01-11,08,267.859,45
2023-01-11,09,224.74799999999996,47
2023-01-11,10,122.76000000000005,45
2023-01-11,11,69.51400000000001,40
2023-01-11,12,32.75600000000001,38
2023-01-11,13,17.671,36
2023-01-11,14,10.509,36
2023-01-11,15,8.146000000000003,29
2023-01-11,16,12.303,39
2023-01-11,17,24.56200000000001,51
2023-01-11,18,47.33899999999999,52
2023-01-11,19,61.689,53
2023-01-11,20,78.24300000000002,52
2023-01-11,21,76.97499999999998,51
2023-01-11,22,82.043,52
2023-01-11,23,91.236,51
2023-01-11,24,91.53399999999998,47
2023-01-12,01,97.32900000000001,46
2023-01-12,02,102.15500000000004,45
2023-01-12,03,108.59900000000002,42
2023-01-12,04,115.741,48
