Date,Hour Ending,Total Load
01/01/2023,1,12646.081297013245
01/01/2023,2,12120.38337633775
01/01/2023,3,12392.111394933778
01/01/2023,4,12496.41060365563
01/01/2023,5,12452.570876264901
01/01/2023,6,12661.496561741724
01/01/2023,7,13157.557937582782
01/01/2023,8,13214.140555231788
01/01/2023,9,13229.822776271525
01/01/2023,10,13171.981320715231
01/01/2023,11,13054.58820284106
01/01/2023,12,12979.744904880796
01/01/2023,13,13193.896335496689
01/01/2023,14,12982.865114781458
01/01/2023,15,13562.44181215232
01/01/2023,16,14638.18838554967
01/01/2023,17,16100.030084980133
01/01/2023,18,17138.08803417219
01/01/2023,19,16947.688618788077
01/01/2023,20,16523.54490462914
01/01/2023,21,15966.117637390731
01/01/2023,22,15231.024180298014
01/01/2023,23,14317.238058774836
01/01/2023,24,13560.61296818543
01/02/2023,1,13112.255069821193
01/02/2023,2,12753.023003046359
01/02/2023,3,13005.688186668876
01/02/2023,4,13041.979182715233
01/02/2023,5,13018.612840966889
01/02/2023,6,13251.878974052983
01/02/2023,7,14133.28140584106
01/02/2023,8,14874.874532880795
01/02/2023,9,15344.436101622518
01/02/2023,10,15633.016981390729
01/02/2023,11,15727.867029139074
01/02/2023,12,15704.99807086093
01/02/2023,13,15893.69253031788
01/02/2023,14,15774.430580165561
01/02/2023,15,15912.362768066227
01/02/2023,16,16470.158092986756
01/02/2023,17,17846.10823980795
01/02/2023,18,18998.06159596689
01/02/2023,19,18763.278670430464
01/02/2023,20,18170.94698207285
01/02/2023,21,17442.598010284768
01/02/2023,22,16439.331167046355
01/02/2023,23,15260.392178105962
01/02/2023,24,14513.79314254967
01/03/2023,1,14202.180414178809
01/03/2023,2,14131.260005781456
01/03/2023,3,14236.639176079469
01/03/2023,4,14326.79790504636
01/03/2023,5,14547.093455860926
01/03/2023,6,15011.184835986756
01/03/2023,7,16529.17459380795
01/03/2023,8,17534.24965247682
01/03/2023,9,17912.619285854304
01/03/2023,10,18169.236648476824
01/03/2023,11,18411.77550651656
01/03/2023,12,18578.258811
01/03/2023,13,18643.484284748345
01/03/2023,14,18556.42587228477
01/03/2023,15,18396.68003215232
01/03/2023,16,18447.336944344373
01/03/2023,17,19186.318421960266
01/03/2023,18,19778.256286470198
01/03/2023,19,19410.545884410596
01/03/2023,20,18841.307819701986
01/03/2023,21,18163.59102530464
01/03/2023,22,17039.653557615897
01/03/2023,23,15688.570450231788
01/03/2023,24,14541.70793715894
01/04/2023,1,14441.173737913907
01/04/2023,2,14364.212205973508
01/04/2023,3,14368.466343
01/04/2023,4,14355.052209298015
01/04/2023,5,14671.264303708609
01/04/2023,6,14865.347768145697
01/04/2023,7,15779.918968271524
01/04/2023,8,16946.317789827815
01/04/2023,9,17237.849467072847
01/04/2023,10,17222.075622059605
01/04/2023,11,17065.567317019868
01/04/2023,12,16888.72457276821
01/04/2023,13,16869.20899100662
