Date,Hour Ending,Total Load
01/01/2023,1,11441.692602059602
01/01/2023,2,10966.061150019867
01/01/2023,3,11211.910309701987
01/01/2023,4,11306.27626045033
01/01/2023,5,11266.61174519205
01/01/2023,6,11455.639746337749
01/01/2023,7,11904.457181622516
01/01/2023,8,11955.650978543046
01/01/2023,9,11969.839654721854
01/01/2023,10,11917.506909218542
01/01/2023,11,11811.294088284769
01/01/2023,12,11743.578723463577
01/01/2023,13,11937.3347797351
01/01/2023,14,11746.401770516555
01/01/2023,15,12270.78068718543
01/01/2023,16,13244.07520597351
01/01/2023,17,14566.693886410596
01/01/2023,18,15505.889173774836
01/01/2023,19,15333.623036046356
01/01/2023,20,14949.873961331126
01/01/2023,21,14445.535005258278
01/01/2023,22,13780.450448841058
01/01/2023,23,12953.691576986754
01/01/2023,24,12269.126018834437
01/02/2023,1,11863.468872695365
01/02/2023,2,11538.44938370861
01/02/2023,3,11767.051216509934
01/02/2023,4,11799.885927218544
01/02/2023,5,11778.744951350993
01/02/2023,6,11989.795262238411
01/02/2023,7,12787.254605284767
01/02/2023,8,13458.219815463575
01/02/2023,9,13883.061234801326
01/02/2023,10,14144.158221258278
01/02/2023,11,14229.974931125827
01/02/2023,12,14209.283968874173
01/02/2023,13,14380.007527430462
01/02/2023,14,14272.103858245031
01/02/2023,15,14396.899647298012
01/02/2023,16,14901.571607940396
01/02/2023,17,16146.47888363576
01/02/2023,18,17188.722396350993
01/02/2023,19,16976.299749437083
01/02/2023,20,16440.380602827812
01/02/2023,21,15781.398199781455
01/02/2023,22,14873.680579708605
01/02/2023,23,13807.02149447682
01/02/2023,24,13131.527128973508
01/03/2023,1,12849.591803304636
01/03/2023,2,12785.425719516556
01/03/2023,3,12880.768778357615
01/03/2023,4,12962.340961708609
01/03/2023,5,13161.65598387417
01/03/2023,6,13581.548184940397
01/03/2023,7,14954.967489635763
01/03/2023,8,15864.321114145692
01/03/2023,9,16206.655544344369
01/03/2023,10,16438.8331581457
01/03/2023,11,16658.273077324502
01/03/2023,12,16808.900829
01/03/2023,13,16867.91435286755
01/03/2023,14,16789.147217781454
01/03/2023,15,16644.61526718543
01/03/2023,16,16690.44771154967
01/03/2023,17,17359.050000821193
01/03/2023,18,17894.612830615893
01/03/2023,19,17561.92246684768
01/03/2023,20,17046.897551158938
01/03/2023,21,16433.72521337086
