Date,Hour Ending,Total Load
01/01/2023,1,12043.886949536423
01/01/2023,2,11543.222263178808
01/01/2023,3,11802.010852317882
01/01/2023,4,11901.34343205298
01/01/2023,5,11859.591310728476
01/01/2023,6,12058.568154039736
01/01/2023,7,12531.007559602649
01/01/2023,8,12584.895766887417
01/01/2023,9,12599.83121549669
01/01/2023,10,12544.744114966887
01/01/2023,11,12432.941145562914
01/01/2023,12,12361.661814172186
01/01/2023,13,12565.615557615894
01/01/2023,14,12364.633442649007
01/01/2023,15,12916.611249668875
01/01/2023,16,13941.13179576159
01/01/2023,17,15333.361985695365
01/01/2023,18,16321.988603973512
01/01/2023,19,16140.655827417217
01/01/2023,20,15736.709432980133
01/01/2023,21,15205.826321324505
01/01/2023,22,14505.737314569536
01/01/2023,23,13635.464817880795
01/01/2023,24,12914.869493509934
01/02/2023,1,12487.861971258279
01/02/2023,2,12145.736193377485
01/02/2023,3,12386.369701589405
01/02/2023,4,12420.932554966888
01/02/2023,5,12398.678896158941
01/02/2023,6,12620.837118145697
01/02/2023,7,13460.268005562913
01/02/2023,8,14166.547174172185
01/02/2023,9,14613.748668211922
01/02/2023,10,14888.587601324503
01/02/2023,11,14978.92098013245
01/02/2023,12,14957.141019867551
01/02/2023,13,15136.85002887417
01/02/2023,14,15023.267219205296
01/02/2023,15,15154.63120768212
01/02/2023,16,15685.864850463575
01/02/2023,17,16996.293561721854
01/02/2023,18,18093.39199615894
01/02/2023,19,17869.789209933773
01/02/2023,20,17305.66379245033
01/02/2023,21,16611.99810503311
01/02/2023,22,15656.50587337748
01/02/2023,23,14533.70683629139
01/02/2023,24,13822.66013576159
01/03/2023,1,13525.886108741723
01/03/2023,2,13458.342862649006
01/03/2023,3,13558.703977218542
01/03/2023,4,13644.569433377485
01/03/2023,5,13854.374719867548
01/03/2023,6,14296.366510463577
01/03/2023,7,15742.071041721856
01/03/2023,8,16699.285383311257
01/03/2023,9,17059.637415099336
01/03/2023,10,17304.03490331126
01/03/2023,11,17535.02429192053
01/03/2023,12,17693.57982
01/03/2023,13,17755.699318807947
01/03/2023,14,17672.786545033112
01/03/2023,15,17520.647649668874
01/03/2023,16,17568.892327947022
01/03/2023,17,18272.68421139073
01/03/2023,18,18836.434558543046
01/03/2023,19,18486.23417562914
01/03/2023,20,17944.102685430462
01/03/2023,21,17298.65811933775
01/03/2023,22,16228.24148344371
01/03/2023,23,14941.495666887417
01/03/2023,24,13849.245654437085
01/04/2023,1,13753.498798013245
01/04/2023,2,13680.20210092715
01/04/2023,3,13684.25366
01/04/2023,4,13671.478294569539
01/04/2023,5,13972.632670198675
01/04/2023,6,14157.474064900664
01/04/2023,7,15028.49425549669
01/04/2023,8,16139.350276026491
01/04/2023,9,16416.99949245033
01/04/2023,10,16401.97678291391
01/04/2023,11,16252.921254304636
01/04/2023,12,16084.499593112581
01/04/2023,13,16065.913324768211
01/04/2023,14,16053.55037165563
01/04/2023,15,16205.222100794703
01/04/2023,16,16554.41656490066
01/04/2023,17,17466.70849205298
01/04/2023,18,18186.028221324505
01/04/2023,19,17978.712223708608
01/04/2023,20,17397.81531509934
01/04/2023,21,16786.407321854305
01/04/2023,22,16515.265064503314
01/04/2023,23,15054.886341456955
01/04/2023,24,13905.88401549669
01/05/2023,1,12701.240894304636
01/05/2023,2,12729.359374172187
01/05/2023,3,12544.861850860927
01/05/2023,4,12259.816319205298
01/05/2023,5,12598.332115099338
01/05/2023,6,13245.67838
01/05/2023,7,14872.399694701988
01/05/2023,8,16141.636422384106
01/05/2023,9,16613.519018145693
01/05/2023,10,16755.310100662253
01/05/2023,11,16890.810492847682
01/05/2023,12,16956.8722589404
01/05/2023,13,16902.481715761587
01/05/2023,14,16836.694793642386
01/05/2023,15,16905.803662384104
01/05/2023,16,17217.98858384106
01/05/2023,17,18038.364154304636
01/05/2023,18,18758.193719470197
01/05/2023,19,18518.061239602648
01/05/2023,20,17934.304976953645
01/05/2023,21,17259.62483364238
01/05/2023,22,16564.559930463576
01/05/2023,23,15113.556966357615
01/05/2023,24,13981.449502649004
01/06/2023,1,13623.09057576159
01/06/2023,2,13424.028333509934
01/06/2023,3,13090.313109271521
01/06/2023,4,13465.153430860926
01/06/2023,5,13883.5486202649
01/06/2023,6,14814.419221324504
01/06/2023,7,15857.763322649005
01/06/2023,8,17079.79816887417
01/06/2023,9,17574.161533509934
01/06/2023,10,17539.021598940395
01/06/2023,11,17715.4034597351
01/06/2023,12,17818.65861960265
01/06/2023,13,17776.08913708609
01/06/2023,14,17754.345934437086
01/06/2023,15,17652.600832980133
01/06/2023,16,17723.319011523177
01/06/2023,17,18396.268147417217
01/06/2023,18,18980.51266291391
01/06/2023,19,18549.615997350993
01/06/2023,20,17906.071143178808
01/06/2023,21,17228.08124754967
01/06/2023,22,16399.15974794702
01/06/2023,23,15357.685894039734
01/06/2023,24,14351.691652317882
01/07/2023,1,13934.146591788078
01/07/2023,2,13433.608762913907
01/07/2023,3,13161.304277086094
01/07/2023,4,13068.995860927153
01/07/2023,5,13208.451415099338
01/07/2023,6,13517.35441986755
01/07/2023,7,14091.85507549669
01/07/2023,8,14985.901855099337
01/07/2023,9,15418.698778807948
01/07/2023,10,15688.000765430463
