local_day,local_hour_end,tot_wind_mwh,_FREQ_
2023-01-01,01,6414.796118282824,54
2023-01-01,02,6447.149690868227,54
2023-01-01,03,7961.5605502562985,56
2023-01-01,04,9798.71065535835,53
2023-01-01,05,11251.572825303387,57
2023-01-01,06,14443.453254130069,58
2023-01-01,07,17810.11987644869,57
2023-01-01,08,21262.916213222175,58
2023-01-01,09,23810.66392740923,58
2023-01-01,10,22560.080248204013,61
2023-01-01,11,23199.900984154403,62
2023-01-01,12,26874.750491006816,60
2023-01-01,13,25995.271627399186,60
2023-01-01,14,23488.22679485181,59
2023-01-01,15,20550.615784527407,59
2023-01-01,16,18041.703343375786,59
2023-01-01,17,16782.111199138293,57
2023-01-01,18,14598.876740769116,57
2023-01-01,19,15955.007770946926,57
2023-01-01,20,16322.514693498102,57
2023-01-01,21,14046.586425726779,57
2023-01-01,22,12198.477852490956,57
2023-01-01,23,12482.519149331567,56
2023-01-01,24,12577.849582645606,54
2023-01-02,01,12056.759317227219,54
2023-01-02,02,11380.300494834612,55
2023-01-02,03,12678.288474788913,58
2023-01-02,04,12586.83058284546,58
2023-01-02,05,11857.859000874505,58
2023-01-02,06,10459.130015620327,55
2023-01-02,07,9188.579403249067,57
2023-01-02,08,9033.26577593968,58
2023-01-02,09,8438.295111323721,58
2023-01-02,10,7198.450181592941,58
2023-01-02,11,6596.942886862105,56
2023-01-02,12,6866.290498360452,58
2023-01-02,13,7065.300674042825,57
2023-01-02,14,6682.166261847258,57
2023-01-02,15,6149.266118490225,52
2023-01-02,16,6118.285787525594,52
2023-01-02,17,6339.789660956221,56
2023-01-02,18,6148.359779020515,56
2023-01-02,19,5860.143827652754,55
2023-01-02,20,5642.622354922367,57
2023-01-02,21,5612.43850409778,55
2023-01-02,22,6085.273058962219,56
2023-01-02,23,5162.592013965083,54
2023-01-02,24,4359.328060310333,49
2023-01-03,01,5066.162987354428,47
2023-01-03,02,5260.339352531679,41
2023-01-03,03,4822.083021678297,40
2023-01-03,04,4484.26558296823,44
2023-01-03,05,4361.223133746999,48
2023-01-03,06,4642.133439692251,47
2023-01-03,07,4853.447860296747,49
2023-01-03,08,5118.730676597604,50
2023-01-03,09,5058.4179046132695,50
2023-01-03,10,4712.965242491703,50
2023-01-03,11,3685.7805101537674,45
2023-01-03,12,3605.967707154463,46
2023-01-03,13,3754.5799153544785,50
2023-01-03,14,3925.8780751296567,57
2023-01-03,15,5104.998260389879,56
2023-01-03,16,6853.272167795525,57
2023-01-03,17,6989.882244229988,51
2023-01-03,18,5101.620086002777,49
2023-01-03,19,4104.756528651502,50
2023-01-03,20,4268.721578171755,49
2023-01-03,21,3354.4447718937467,48
2023-01-03,22,3451.72520830928,45
2023-01-03,23,3111.49086434665,42
2023-01-03,24,2269.336707991621,39
2023-01-04,01,2046.6793115995445,37
2023-01-04,02,2447.116568216847,42
2023-01-04,03,3344.7771508835076,46
