local_day,local_hour_end,tot_wind_mwh,_FREQ_
2023-01-01,01,785.5665247171518,54
2023-01-01,02,789.5285966379819,54
2023-01-01,03,974.9858510646222,56
2023-01-01,04,1199.9662864264712,53
2023-01-01,05,1377.8861867150968,57
2023-01-01,06,1768.7691344427144,58
2023-01-01,07,2181.0566880312513,57
2023-01-01,08,2603.891828668791,58
2023-01-01,09,2915.8932205736287,58
2023-01-01,10,2762.744678262012,61
2023-01-01,11,2841.098182054595,62
2023-01-01,12,3291.1263205528403,60
2023-01-01,13,3183.4238867253125,60
2023-01-01,14,2876.407036914419,59
2023-01-01,15,2516.6623420247047,59
2023-01-01,16,2209.4167817803523,59
2023-01-01,17,2055.1650479661607,57
2023-01-01,18,1787.8025512508455,57
2023-01-01,19,1953.8765964417082,57
2023-01-01,20,1998.882101002515,57
2023-01-01,21,1720.16816733236,57
2023-01-01,22,1493.8457398682938,57
2023-01-01,23,1528.6299060866525,56
2023-01-01,24,1540.3042283593197,54
2023-01-02,01,1476.4906540351153,54
2023-01-02,02,1393.6503896802337,55
2023-01-02,03,1552.6041409352756,58
2023-01-02,04,1541.4040564731667,58
2023-01-02,05,1452.1329928715722,58
2023-01-02,06,1280.8423317645738,55
2023-01-02,07,1125.248605848165,57
2023-01-02,08,1106.2286425949435,58
2023-01-02,09,1033.3675525941394,58
2023-01-02,10,881.5340952749197,58
2023-01-02,11,807.8725187570042,56
2023-01-02,12,840.8572720062255,58
2023-01-02,13,865.2283867246775,57
2023-01-02,14,818.3091139780031,57
2023-01-02,15,753.0492825010334,52
2023-01-02,16,749.2553800165712,52
2023-01-02,17,776.3811101027309,56
2023-01-02,18,752.9382906730306,56
2023-01-02,19,717.642889368113,55
2023-01-02,20,691.0048506474203,57
2023-01-02,21,687.308486436051,55
2023-01-02,22,745.2125867662841,56
2023-01-02,23,632.2195424706193,54
2023-01-02,24,533.8505123615162,49
2023-01-03,01,620.4106846488576,47
2023-01-03,02,644.189842951294,41
2023-01-03,03,590.5202490288076,40
2023-01-03,04,549.1505676822778,44
2023-01-03,05,534.0825861837039,48
2023-01-03,06,568.4833260871438,47
2023-01-03,07,594.3612389554534,49
2023-01-03,08,626.8482106730249,50
2023-01-03,09,619.462209027742,50
2023-01-03,10,577.1575056150057,50
2023-01-03,11,451.3667672117351,45
2023-01-03,12,441.59275957002666,46
2023-01-03,13,459.79205597377256,50
2023-01-03,14,480.76951146631785,57
2023-01-03,15,625.166516309345,56
2023-01-03,16,839.2630257494566,57
2023-01-03,17,855.9925212793461,51
2023-01-03,18,624.7528194958795,49
2023-01-03,19,502.6752622476148,50
2023-01-03,20,522.754692949955,49
2023-01-03,21,410.7908456048623,48
2023-01-03,22,422.7039684771719,45
2023-01-03,23,381.03830892263403,42
2023-01-03,24,277.90672037558915,39
2023-01-04,01,250.63972796288016,37
2023-01-04,02,299.67793560779154,42
2023-01-04,03,409.6069327728315,46
2023-01-04,04,576.9893361786376,48
2023-01-04,05,594.0316268601719,50
2023-01-04,06,591.3543694331929,45
2023-01-04,07,587.2611253519958,42
2023-01-04,08,511.22163300383687,37
2023-01-04,09,488.1958737763295,39
2023-01-04,10,363.76730780763955,32
2023-01-04,11,334.8018040876138,44
2023-01-04,12,264.30181297341716,40
2023-01-04,13,260.64917281550396,31
2023-01-04,14,210.13443751928165,32
2023-01-04,15,188.11433152125448,34
2023-01-04,16,283.0358881848134,38
2023-01-04,17,268.3513330011587,41
2023-01-04,18,353.93275916883846,43
2023-01-04,19,529.6059157875876,51
2023-01-04,20,808.0440515820994,53
2023-01-04,21,1206.6997906586466,55
2023-01-04,22,1508.032513520299,54
2023-01-04,23,1857.7913072784831,53
2023-01-04,24,1934.4395729862938,53
2023-01-05,01,1964.0743910630658,54
2023-01-05,02,1994.1599032293018,53
2023-01-05,03,1565.3278404908797,53
2023-01-05,04,1137.0742806135631,52
2023-01-05,05,1095.7987741513991,52
2023-01-05,06,962.5547663282986,51
2023-01-05,07,943.0168412110638,50
2023-01-05,08,778.5235887220595,51
2023-01-05,09,805.1044498343871,52
2023-01-05,10,711.6325137123204,49
2023-01-05,11,628.6879843068909,50
2023-01-05,12,639.9654267097296,45
2023-01-05,13,495.43052292888086,44
2023-01-05,14,357.54840205075055,43
2023-01-05,15,265.7648870698188,43
2023-01-05,16,281.12884677640017,42
2023-01-05,17,310.39032870443367,41
2023-01-05,18,359.3276346875241,40
2023-01-05,19,326.9449280205004,39
2023-01-05,20,288.326498652951,39
2023-01-05,21,275.42453949479733,38
2023-01-05,22,214.3084029299355,36
2023-01-05,23,152.92319526688502,35
2023-01-05,24,168.02817404145958,34
2023-01-06,01,177.27412965297268,37
2023-01-06,02,162.06824921657736,36
2023-01-06,03,129.62500155246113,36
2023-01-06,04,140.20285910000885,36
2023-01-06,05,146.88254911254612,34
2023-01-06,06,117.39908352850688,32
2023-01-06,07,74.32752748593248,32
2023-01-06,08,70.47308400437771,27
2023-01-06,09,47.40696411214165,28
2023-01-06,10,37.9020275686218,30
2023-01-06,11,59.27972631972307,31
2023-01-06,12,75.61906875723878,30
2023-01-06,13,34.23257046707184,27
2023-01-06,14,19.460567176505965,25
2023-01-06,15,18.552452220118717,29
2023-01-06,16,21.979745333298734,28
2023-01-06,17,33.91641192669999,30
2023-01-06,18,45.789174134281396,31
2023-01-06,19,47.24215806450099,30
2023-01-06,20,49.0382076449113,32
