Date,Time,Fuel Category,Gen Mw
01/01/2023,00:01:47,Coal,0.0
01/01/2023,00:01:47,Hydro,1144.0
01/01/2023,00:01:47,Landfill Gas,36.0
01/01/2023,00:01:47,Natural Gas,3343.0
01/01/2023,00:01:47,Nuclear,3371.0
01/01/2023,00:01:47,Oil,0.0
01/01/2023,00:01:47,Other,0.0
01/01/2023,00:01:47,Refuse,335.0
01/01/2023,00:01:47,Solar,1.0
01/01/2023,00:01:47,Wind,195.0
01/01/2023,00:01:47,Wood,231.0
01/01/2023,00:12:37,Hydro,1146.0
01/01/2023,00:12:37,Landfill Gas,36.0
01/01/2023,00:12:37,Nuclear,3371.0
01/01/2023,00:12:37,Oil,0.0
01/01/2023,00:12:37,Other,0.0
01/01/2023,00:12:37,Refuse,334.0
01/01/2023,00:12:37,Solar,1.0
01/01/2023,00:12:37,Wind,222.0
01/01/2023,00:12:37,Wood,229.0
01/01/2023,00:23:32,Coal,0.0
01/01/2023,00:23:32,Hydro,1144.0
01/01/2023,00:23:32,Landfill Gas,36.0
01/01/2023,00:23:32,Natural Gas,3212.0
01/01/2023,00:23:32,Nuclear,3370.0
01/01/2023,00:23:32,Oil,0.0
01/01/2023,00:23:32,Other,0.0
01/01/2023,00:23:32,Refuse,333.0
01/01/2023,00:23:32,Solar,1.0
01/01/2023,00:23:32,Wind,226.0
01/01/2023,00:23:32,Wood,233.0
01/01/2023,00:30:46,Coal,1.0
01/01/2023,00:30:46,Hydro,1144.0
01/01/2023,00:30:46,Landfill Gas,36.0
01/01/2023,00:30:46,Natural Gas,3164.0
01/01/2023,00:30:46,Nuclear,3370.0
01/01/2023,00:30:46,Oil,0.0
01/01/2023,00:30:46,Other,0.0
01/01/2023,00:30:46,Refuse,325.0
01/01/2023,00:30:46,Solar,1.0
01/01/2023,00:30:46,Wind,227.0
01/01/2023,00:30:46,Wood,233.0
01/01/2023,00:38:39,Coal,0.0
01/01/2023,00:38:39,Hydro,1014.0
01/01/2023,00:38:39,Landfill Gas,36.0
01/01/2023,00:38:39,Natural Gas,3162.0
01/01/2023,00:38:39,Nuclear,3371.0
01/01/2023,00:38:39,Oil,0.0
01/01/2023,00:38:39,Other,1.0
01/01/2023,00:38:39,Refuse,340.0
01/01/2023,00:38:39,Solar,1.0
01/01/2023,00:38:39,Wind,231.0
01/01/2023,00:38:39,Wood,233.0
01/01/2023,00:48:48,Coal,0.0
01/01/2023,00:48:48,Hydro,1015.0
01/01/2023,00:48:48,Landfill Gas,36.0
01/01/2023,00:48:48,Natural Gas,3098.0
01/01/2023,00:48:48,Nuclear,3372.0
01/01/2023,00:48:48,Oil,0.0
01/01/2023,00:48:48,Other,0.0
01/01/2023,00:48:48,Refuse,329.0
01/01/2023,00:48:48,Solar,1.0
01/01/2023,00:48:48,Wind,231.0
01/01/2023,00:48:48,Wood,231.0
01/01/2023,00:55:49,Coal,0.0
01/01/2023,00:55:49,Hydro,1011.0
01/01/2023,00:55:49,Landfill Gas,36.0
01/01/2023,00:55:49,Natural Gas,3089.0
01/01/2023,00:55:49,Nuclear,3370.0
01/01/2023,00:55:49,Oil,0.0
01/01/2023,00:55:49,Other,0.0
01/01/2023,00:55:49,Refuse,334.0
01/01/2023,00:55:49,Solar,1.0
01/01/2023,00:55:49,Wind,232.0
01/01/2023,00:55:49,Wood,232.0
01/01/2023,01:04:09,Coal,0.0
01/01/2023,01:04:09,Hydro,970.0
01/01/2023,01:04:09,Landfill Gas,35.0
01/01/2023,01:04:09,Natural Gas,3091.0
01/01/2023,01:04:09,Nuclear,3370.0
01/01/2023,01:04:09,Oil,0.0
01/01/2023,01:04:09,Other,2.0
01/01/2023,01:04:09,Refuse,339.0
01/01/2023,01:04:09,Solar,1.0
01/01/2023,01:04:09,Wind,230.0
01/01/2023,01:04:09,Wood,231.0
01/01/2023,01:07:55,Coal,0.0
01/01/2023,01:07:55,Hydro,971.0
01/01/2023,01:07:55,Landfill Gas,36.0
01/01/2023,01:07:55,Natural Gas,3132.0
01/01/2023,01:07:55,Nuclear,3371.0
01/01/2023,01:07:55,Oil,0.0
01/01/2023,01:07:55,Other,1.0
01/01/2023,01:07:55,Refuse,338.0
01/01/2023,01:07:55,Solar,1.0
01/01/2023,01:07:55,Wind,234.0
01/01/2023,01:07:55,Wood,232.0
01/01/2023,01:18:06,Coal,0.0
01/01/2023,01:18:06,Hydro,971.0
01/01/2023,01:18:06,Landfill Gas,36.0
01/01/2023,01:18:06,Natural Gas,3087.0
01/01/2023,01:18:06,Nuclear,3370.0
01/01/2023,01:18:06,Oil,0.0
01/01/2023,01:18:06,Other,0.0
01/01/2023,01:18:06,Refuse,335.0
01/01/2023,01:18:06,Solar,1.0
01/01/2023,01:18:06,Wind,232.0
01/01/2023,01:18:06,Wood,234.0
01/01/2023,01:23:09,Coal,2.0
01/01/2023,01:23:09,Hydro,971.0
01/01/2023,01:23:09,Landfill Gas,35.0
01/01/2023,01:23:09,Natural Gas,3049.0
01/01/2023,01:23:09,Nuclear,3373.0
01/01/2023,01:23:09,Oil,0.0
01/01/2023,01:23:09,Other,0.0
01/01/2023,01:23:09,Refuse,335.0
01/01/2023,01:23:09,Solar,1.0
01/01/2023,01:23:09,Wind,220.0
01/01/2023,01:23:09,Wood,231.0
01/01/2023,01:32:34,Coal,0.0
