ID,Generating Fuel Type,Fuel Type
253,Landfill Gas,Gas
321,Natural Gas,Gas
322,Natural Gas,Gas
323,Natural Gas,Gas
324,Natural Gas,Gas
326,Natural Gas,Gas
327,Water at a Conventional Hydroelectric Turbine,Hydro
328,Water at a Conventional Hydroelectric Turbine,Hydro
330,Water at a Conventional Hydroelectric Turbine,Hydro
331,Water at a Conventional Hydroelectric Turbine,Hydro
335,Water at a Conventional Hydroelectric Turbine,Hydro
336,Kerosene,Gas
341,Jet Fuel,Oil
346,Water at a Conventional Hydroelectric Turbine,Hydro
348,Water at a Conventional Hydroelectric Turbine,Hydro
349,Municipal Solid Waste,Waste
355,Kerosene,Gas
356,Municipal Solid Waste,Waste
357,Wood/Wood Waste Solids.,Waste
358,Water at a Conventional Hydroelectric Turbine,Hydro
359,Water at a Conventional Hydroelectric Turbine,Hydro
360,Water at a Conventional Hydroelectric Turbine,Hydro
362,Water at a Conventional Hydroelectric Turbine,Hydro
363,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
365,Residual Fuel Oil Bunker C,Oil
366,Residual Fuel Oil Bunker C,Oil
367,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
368,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
369,Water at a Conventional Hydroelectric Turbine,Hydro
370,Kerosene,Gas
371,Kerosene,Gas
372,Kerosene,Gas
375,Natural Gas,Gas
376,Residual Fuel Oil Bunker C,Gas
379,Water at a Conventional Hydroelectric Turbine,Hydro
380,Water at a Conventional Hydroelectric Turbine,Hydro
382,Kerosene,Gas
383,Kerosene,Gas
388,Natural Gas,Gas
389,Water at a Conventional Hydroelectric Turbine,Hydro
392,Natural Gas,Gas
393,Water at a Conventional Hydroelectric Turbine,Hydro
395,Kerosene,Gas
396,Kerosene,Gas
397,Kerosene,Gas
398,Kerosene,Gas
399,Kerosene,Gas
400,Kerosene,Gas
401,Water at a Conventional Hydroelectric Turbine,Hydro
405,Water at a Conventional Hydroelectric Turbine,Hydro
410,Water at a Conventional Hydroelectric Turbine,Hydro
412,Water at a Conventional Hydroelectric Turbine,Hydro
413,Water at a Conventional Hydroelectric Turbine,Hydro
417,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
418,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
419,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
420,Kerosene,Gas
421,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
424,Water at a Conventional Hydroelectric Turbine,Hydro
426,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
427,Water at a Conventional Hydroelectric Turbine,Hydro
432,Water at a Conventional Hydroelectric Turbine,Hydro
433,Water at a Conventional Hydroelectric Turbine,Hydro
434,Water at a Conventional Hydroelectric Turbine,Hydro
435,Water at a Conventional Hydroelectric Turbine,Hydro
436,Wood/Wood Waste Solids.,Waste
440,Water at a Conventional Hydroelectric Turbine,Hydro
445,Wood/Wood Waste Solids.,Waste
446,Wood/Wood Waste Solids.,Waste
449,Water at a Conventional Hydroelectric Turbine,Hydro
452,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
457,Water at a Conventional Hydroelectric Turbine,Hydro
460,Water at a Conventional Hydroelectric Turbine,Hydro
462,Municipal Solid Waste,Waste
463,Wood/Wood Waste Solids.,Waste
464,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
465,Water at a Conventional Hydroelectric Turbine,Hydro
467,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
468,Water at a Conventional Hydroelectric Turbine,Hydro
472,Kerosene,Gas
473,Water at a Conventional Hydroelectric Turbine,Hydro
474,Wood/Wood Waste Solids.,Waste
478,Jet Fuel,Oil
480,Residual Fuel Oil Bunker C,Oil
482,Residual Fuel Oil Bunker C,Oil
484,"Nuclear Uranium, Plutonium, Thorium",Nuclear
485,"Nuclear Uranium, Plutonium, Thorium",Nuclear
486,Natural Gas,Gas
487,Water at a Conventional Hydroelectric Turbine,Hydro
489,Anthracite Coal and Bituminous Coal,Coal
490,Anthracite Coal and Bituminous Coal,Coal
492,Kerosene,Gas
493,Residual Fuel Oil Bunker C,Oil
494,Residual Fuel Oil Bunker C,Oil
495,Water at a Conventional Hydroelectric Turbine,Hydro
496,Water at a Conventional Hydroelectric Turbine,Hydro
497,Natural Gas,Gas
507,Natural Gas,Gas
508,Residual Fuel Oil Bunker C,Oil
513,Residual Fuel Oil Bunker C,Oil
515,"Distillate Fuel Oil - including Diesel, No. 1, 2, and 4",Gas
527,Municipal Solid Waste,Waste
528,Natural Gas,Gas
529,Natural Gas,Gas
532,Water at a Conventional Hydroelectric Turbine,Hydro
536,Municipal Solid Waste,Waste
539,Water at a Conventional Hydroelectric Turbine,Hydro
540,Natural Gas,Gas
541,Water at a Conventional Hydroelectric Turbine,Hydro
542,Municipal Solid Waste,Waste
546,Municipal Solid Waste,Waste
